id_unique_orig,idshift,Team_orig,Date,NHours,Start,End,StartId,EndId,idw,shiftid,Team,id_unique,seat
305690,44910,Team 5,18jun2013,60,18jun2013 12:00:00,18jun2013 21:30:00,23691,23710,50,168,4,572207,43
915075,134203,Team 14,20jun2013,66,20jun2013 11:00:00,20jun2013 22:30:00,23785,23808,143,502,4,572207,40
967583,139855,Team 10,22jun2013,84,22jun2013 10:00:00,22jun2013 20:30:00,23879,23900,149,520,4,572207,36
38178,6768,Team 7,24jun2013,67,24jun2013 12:30:00,24jun2013 21:00:00,23980,23997,6,18,4,572207,49
38791,7583,Team 7,19jun2013,112,19jun2013 10:00:00,19jun2013 19:30:00,23735,23754,7,20,10,574141,39
468416,65057,Team 10,21jun2013,46,21jun2013 09:00:00,21jun2013 14:00:00,23829,23839,70,244,10,574141,37
607083,83263,Team 9,23jun2013,85,23jun2013 10:30:00,23jun2013 22:00:00,23928,23951,90,322,10,574141,35
794773,111288,Team 11,18jun2013,83,18jun2013 16:00:00,18jun2013 23:30:00,23699,23714,121,433,5,574789,34
715012,97150,Team 15,20jun2013,55,20jun2013 16:00:00,21jun2013 01:30:00,23795,23814,105,369,5,574789,5
214894,32159,Team 12,22jun2013,104,22jun2013 17:30:00,23jun2013 03:30:00,23894,23914,37,131,5,574789,31
715012,97152,Team 15,24jun2013,55,24jun2013 16:00:00,24jun2013 23:00:00,23987,24001,105,371,5,574789,33
496150,70666,Team 10,19jun2013,82,19jun2013 10:00:00,19jun2013 16:00:00,23735,23747,76,261,10,602783,11
769213,107890,Team 5,21jun2013,55,21jun2013 09:00:00,21jun2013 14:00:00,23829,23839,117,417,10,602783,13
967583,139856,Team 10,23jun2013,84,23jun2013 10:30:00,23jun2013 22:00:00,23928,23951,149,521,10,602783,15
228236,33449,Team 11,18jun2013,55,18jun2013 23:00:00,19jun2013 06:30:00,23713,23728,39,136,8,602900,27
688028,93824,Team 7,20jun2013,94,20jun2013 21:00:00,21jun2013 06:30:00,23805,23824,99,352,8,602900,43
515269,73252,Team 5,22jun2013,64,22jun2013 20:30:00,23jun2013 06:30:00,23900,23920,79,276,8,602900,11
858604,123080,Team 8,24jun2013,27,24jun2013 22:30:00,25jun2013 05:00:00,24000,24013,130,463,8,602900,23
481312,67081,Team 11,19jun2013,36,19jun2013 08:00:00,19jun2013 13:30:00,23731,23742,72,249,9,607083,35
887296,129294,Team 14,21jun2013,91,21jun2013 07:30:00,21jun2013 18:00:00,23826,23847,137,482,9,607083,19
130746,19757,Team 2,23jun2013,101,23jun2013 08:00:00,23jun2013 17:30:00,23923,23942,24,85,9,607083,31
501521,71692,Team 1,19jun2013,126,19jun2013 17:00:00,20jun2013 02:30:00,23749,23768,77,266,13,609904,27
414187,58684,Team 15,21jun2013,66,21jun2013 17:00:00,22jun2013 02:00:00,23845,23863,62,212,13,609904,22
535978,75278,Team 4,23jun2013,22,23jun2013 19:30:00,24jun2013 06:00:00,23946,23967,81,283,13,609904,14
38791,7582,Team 7,18jun2013,112,18jun2013 13:00:00,18jun2013 22:30:00,23693,23712,7,19,4,620947,46
59950,11431,Team 5,20jun2013,64,20jun2013 12:00:00,20jun2013 17:30:00,23787,23798,11,37,4,620947,8
321647,46109,Team 9,22jun2013,76,22jun2013 11:00:00,22jun2013 20:30:00,23881,23900,51,173,4,620947,39
925831,135400,Team 13,24jun2013,58,24jun2013 13:00:00,24jun2013 21:00:00,23981,23997,144,506,4,620947,50
94083,15953,Team 11,18jun2013,81,18jun2013 11:00:00,18jun2013 20:30:00,23689,23708,17,59,3,624150,40
496150,70667,Team 10,20jun2013,82,20jun2013 10:00:00,20jun2013 18:00:00,23783,23799,76,262,3,624150,38
903974,132418,Team 10,22jun2013,20,22jun2013 08:30:00,22jun2013 18:00:00,23876,23895,142,500,3,624150,18
427774,59696,Team 2,24jun2013,15,24jun2013 11:00:00,24jun2013 18:00:00,23977,23991,64,219,3,624150,44
986245,142034,Team 12,18jun2013,87,18jun2013 17:30:00,19jun2013 03:30:00,23702,23722,152,530,6,655988,26
359142,52589,Team 11,20jun2013,78,20jun2013 18:00:00,21jun2013 04:00:00,23799,23819,57,198,6,655988,26
2708,529,Team 15,22jun2013,20,22jun2013 18:30:00,23jun2013 00:30:00,23896,23908,1,2,6,655988,21
106879,17369,Team 1,24jun2013,61,24jun2013 17:30:00,25jun2013 03:30:00,23990,24010,20,68,6,655988,47
769213,107887,Team 5,18jun2013,55,18jun2013 09:00:00,18jun2013 14:00:00,23685,23695,117,414,2,657288,12
236538,37221,Team 1,20jun2013,112,20jun2013 09:00:00,20jun2013 19:00:00,23781,23801,43,148,2,657288,13
